Target Variable,Algorithm,Metric Type,Precision,Recall,F1-Score,Support (Test Samples)
Severity,Logistic Regression,Critical,0.0,0.0,0.0,963.0
Severity,Logistic Regression,High,0.0,0.0,0.0,2910.0
Severity,Logistic Regression,Low,0.0,0.0,0.0,2012.0
Severity,Logistic Regression,Medium,0.4115,1.0,0.5831,4115.0
Severity,Logistic Regression,macro avg,0.1029,0.25,0.1458,10000.0
Severity,Logistic Regression,weighted avg,0.1693,0.4115,0.2399,10000.0
Severity,Decision Tree,Critical,0.0841,0.0976,0.0903,963.0
Severity,Decision Tree,High,0.2861,0.2924,0.2892,2910.0
Severity,Decision Tree,Low,0.187,0.1909,0.1889,2012.0
Severity,Decision Tree,Medium,0.4071,0.3813,0.3938,4115.0
Severity,Decision Tree,macro avg,0.2411,0.2405,0.2406,10000.0
Severity,Decision Tree,weighted avg,0.2965,0.2898,0.2929,10000.0
Severity,Random Forest,Critical,0.1034,0.0031,0.006,963.0
Severity,Random Forest,High,0.3045,0.29,0.2971,2910.0
Severity,Random Forest,Low,0.1875,0.0462,0.0742,2012.0
Severity,Random Forest,Medium,0.4144,0.6751,0.5136,4115.0
Severity,Random Forest,macro avg,0.2525,0.2536,0.2227,10000.0
Severity,Random Forest,weighted avg,0.3068,0.3718,0.3133,10000.0
Severity,Naive Bayes,Critical,0.0,0.0,0.0,963.0
Severity,Naive Bayes,High,0.0,0.0,0.0,2910.0
Severity,Naive Bayes,Low,0.0,0.0,0.0,2012.0
Severity,Naive Bayes,Medium,0.4115,1.0,0.5831,4115.0
Severity,Naive Bayes,macro avg,0.1029,0.25,0.1458,10000.0
Severity,Naive Bayes,weighted avg,0.1693,0.4115,0.2399,10000.0
Priority,Logistic Regression,P1,0.3315,0.409,0.3662,3325.0
Priority,Logistic Regression,P2,0.3305,0.2265,0.2688,3271.0
Priority,Logistic Regression,P3,0.3398,0.3649,0.3519,3404.0
Priority,Logistic Regression,macro avg,0.3339,0.3335,0.329,10000.0
Priority,Logistic Regression,weighted avg,0.334,0.3343,0.3295,10000.0
Priority,Decision Tree,P1,0.3369,0.3302,0.3335,3325.0
Priority,Decision Tree,P2,0.33,0.3378,0.3339,3271.0
Priority,Decision Tree,P3,0.336,0.3349,0.3354,3404.0
Priority,Decision Tree,macro avg,0.3343,0.3343,0.3343,10000.0
Priority,Decision Tree,weighted avg,0.3344,0.3343,0.3343,10000.0
Priority,Random Forest,P1,0.3353,0.378,0.3554,3325.0
Priority,Random Forest,P2,0.3244,0.3121,0.3182,3271.0
Priority,Random Forest,P3,0.345,0.3146,0.3291,3404.0
Priority,Random Forest,macro avg,0.3349,0.3349,0.3342,10000.0
Priority,Random Forest,weighted avg,0.3351,0.3349,0.3343,10000.0
Priority,Naive Bayes,P1,0.3391,0.4099,0.3711,3325.0
Priority,Naive Bayes,P2,0.3308,0.2271,0.2693,3271.0
Priority,Naive Bayes,P3,0.3482,0.3819,0.3642,3404.0
Priority,Naive Bayes,macro avg,0.3393,0.3397,0.3349,10000.0
Priority,Naive Bayes,weighted avg,0.3395,0.3406,0.3355,10000.0
